,Disagreement,q
0,0.0051812093408866635,1.0
1,0.004414685858942089,1.0
2,0.004103365137697788,1.0
3,0.004869340729204813,1.0
4,0.004693086377540972,1.0
5,0.0031893335775525426,1.0
6,0.0037515405120426447,1.0
7,0.003074489361057007,1.0
8,0.0044421761863870455,1.0
9,0.004773539786258641,1.0
10,0.005441818639226045,1.0
11,0.005343088416308587,1.0
12,0.00211657030249283,1.0
13,0.004605476171716066,1.0
14,0.0035969312949070105,1.0
15,0.004996989188773442,1.0
16,0.00360985950668609,1.0
17,0.0030477994322121948,1.0
18,0.004845164631199075,1.0
19,0.002174097780163936,1.0
20,0.007067209775447708,1.0
21,0.004605012271633722,1.0
22,0.005404650949975307,1.0
23,0.0037672567354656624,1.0
24,0.0035524224555875594,1.0
25,0.003881683879475247,1.0
26,0.003308551547474084,1.0
27,0.004159856450367871,1.0
28,0.0029165630063389338,1.0
29,0.004216535754684798,1.0
30,0.004387035854201892,1.0
31,0.0017970907593273322,1.0
32,0.005017279330988535,1.0
33,0.003646787334561324,1.0
34,0.0021886897767336203,1.0
35,0.004054736841784278,1.0
36,0.0038285801047435912,1.0
37,0.003964791441685322,1.0
38,0.00341934312124646,1.0
39,0.005804149372848107,1.0
40,0.0033863638776252263,1.0
41,0.00639152793912916,1.0
42,0.0029223146489791513,1.0
43,0.002941575212243118,1.0
44,0.0016203414208297497,1.0
45,0.00227609634731086,1.0
46,0.0034080966516547256,1.0
47,0.004475000772689951,1.0
48,0.0036429546883170443,1.0
49,0.004550336195915287,1.0
50,0.004212811999964484,1.0
51,0.003772504030992576,1.0
52,0.004721678416547871,1.0
53,0.003938666624782167,1.0
54,0.00562378337276609,1.0
55,0.0029844265043437778,1.0
56,0.0027797754619958846,1.0
57,0.0030550426944206776,1.0
58,0.004690987054120715,1.0
59,0.003192262870016497,1.0
60,0.0044459013574205735,1.0
61,0.0026252531522191424,1.0
62,0.002950259855190501,1.0
63,0.002748572149097126,1.0
64,0.004088673647532767,1.0
65,0.00454851853180911,1.0
66,0.007011254433581335,1.0
67,0.00242637912786966,1.0
68,0.003897656457209705,1.0
69,0.004362308680402933,1.0
70,0.005110034948043495,1.0
71,0.004902481357187263,1.0
72,0.00238380443593938,1.0
73,0.0027008735175610183,1.0
74,0.003079998076564426,1.0
75,0.0014778819702273213,1.0
76,0.0028361048581266807,1.0
77,0.002412764761254132,1.0
78,0.0023833281972410175,1.0
79,0.0051711386654656535,1.0
80,0.004513445705816728,1.0
81,0.005617951871305007,1.0
82,0.005478714015975062,1.0
83,0.003572592669232637,1.0
84,0.004365013498573459,1.0
85,0.002826522523570622,1.0
86,0.0035238601473386666,1.0
87,0.004020875833033243,1.0
88,0.004876521387236494,1.0
89,0.003310779430401773,1.0
90,0.004722777540965927,1.0
91,0.0035108689028591883,1.0
92,0.003999723842051759,1.0
93,0.003078603163223504,1.0
94,0.005246549221314009,1.0
95,0.0033910474693002925,1.0
96,0.002457829758490863,1.0
97,0.0027367505317607284,1.0
98,0.0031998435853345876,1.0
99,0.002628671468898784,1.0
100,0.005408194392132257,0.8
101,0.0022460940495879467,0.8
102,0.002082490491752737,0.8
103,0.005240420959583138,0.8
104,0.0045263599619778045,0.8
105,0.003948138527116387,0.8
106,0.003756668094608621,0.8
107,0.004435659159626178,0.8
108,0.002552343234635857,0.8
109,0.002401438243389146,0.8
110,0.0034265978217128536,0.8
111,0.003745266008652023,0.8
112,0.00413883456739698,0.8
113,0.003539748660176902,0.8
114,0.0035460981216886987,0.8
115,0.004048221553016991,0.8
116,0.0032157282309492725,0.8
117,0.003991612062654876,0.8
118,0.004121443541701021,0.8
119,0.004251716130314245,0.8
120,0.004176295086358695,0.8
121,0.00294775532852712,0.8
122,0.004827676094173015,0.8
123,0.004277109961701787,0.8
124,0.0047055633157667975,0.8
125,0.0035768967303267,0.8
126,0.0026084252785964017,0.8
127,0.0035773362615608238,0.8
128,0.0020296428583696634,0.8
129,0.004737727044038282,0.8
130,0.004455400284715505,0.8
131,0.004036645447086148,0.8
132,0.00484986729761473,0.8
133,0.002441272372543693,0.8
134,0.004043338436281458,0.8
135,0.003234452796901552,0.8
136,0.005278382258720015,0.8
137,0.004194192253681505,0.8
138,0.0027345949930535117,0.8
139,0.004361723351424078,0.8
140,0.004596124406461274,0.8
141,0.004895211531143856,0.8
142,0.004387265339722582,0.8
143,0.002656899801455894,0.8
144,0.0029037985522991383,0.8
145,0.002564741998994303,0.8
146,0.003254523329229357,0.8
147,0.005823324148948768,0.8
148,0.002349791941712618,0.8
149,0.0036731585072043976,0.8
150,0.0023075964903386914,0.8
151,0.0033839922734990053,0.8
152,0.006688233935619494,0.8
153,0.002793509796870845,0.8
154,0.003466776512476366,0.8
155,0.00389215821032161,0.8
156,0.003454780026192429,0.8
157,0.005276404013774436,0.8
158,0.005310444060886928,0.8
159,0.0016166318690198059,0.8
160,0.004205935876176079,0.8
161,0.00253259639880851,0.8
162,0.004495514905829851,0.8
163,0.0028864580650183975,0.8
164,0.004070866368369697,0.8
165,0.0047889923481501725,0.8
166,0.0029338046057769255,0.8
167,0.0030204573087753528,0.8
168,0.0036934148273278784,0.8
169,0.00320921458702524,0.8
170,0.006129740621376202,0.8
171,0.004073426875735885,0.8
172,0.004513206361741683,0.8
173,0.003374486531668428,0.8
174,0.0026372272492761,0.8
175,0.004107922751602672,0.8
176,0.004174475116500768,0.8
177,0.006008292863269969,0.8
178,0.003400684587758776,0.8
179,0.0028349836742415395,0.8
180,0.0026841063631260127,0.8
181,0.001956348467539878,0.8
182,0.0063218282519149635,0.8
183,0.004275418272117616,0.8
184,0.0029452950497399094,0.8
185,0.005549463468569275,0.8
186,0.003079853870035984,0.8
187,0.0037687470898496132,0.8
188,0.004796224418089148,0.8
189,0.003934726804918754,0.8
190,0.003380110302545913,0.8
191,0.002400353776720201,0.8
192,0.0038403465943287916,0.8
193,0.0026859116489159856,0.8
194,0.004794766906669455,0.8
195,0.002161241366157695,0.8
196,0.003336323001435746,0.8
197,0.005011373062537726,0.8
198,0.0031294080788962825,0.8
199,0.0033627351772203174,0.8
200,0.00544928386580416,0.6
201,0.005378441404469001,0.6
202,0.003770184078631952,0.6
203,0.0023439608230014218,0.6
204,0.0045686845112854774,0.6
205,0.002921080030433297,0.6
206,0.0027817886981720222,0.6
207,0.00405922846298315,0.6
208,0.004019155332531088,0.6
209,0.0035569651135601886,0.6
210,0.0032104396290694526,0.6
211,0.00526668861222428,0.6
212,0.0038924366253208615,0.6
213,0.0028903013303907183,0.6
214,0.004583201474765416,0.6
215,0.0029818611079909644,0.6
216,0.0034219111052134045,0.6
217,0.004158271434880211,0.6
218,0.0025966944119884317,0.6
219,0.003656958732737386,0.6
220,0.005093875890248935,0.6
221,0.003773877561697521,0.6
222,0.00553185670206603,0.6
223,0.0033758212765666136,0.6
224,0.0031588892318147824,0.6
225,0.0020810957320037387,0.6
226,0.0034306425329679348,0.6
227,0.004526096998062303,0.6
228,0.005099803076465181,0.6
229,0.004050768736986252,0.6
