,Unnamed: 0,Disagreement,Density
0,0,7.361435150353181e-05,0.1
1,1,7.000262721610445e-05,0.1
2,2,0.000112472723828,0.1
3,3,8.446271890799615e-05,0.1
4,4,0.0001248694357837,0.1
5,5,8.651130837405703e-05,0.1
6,6,8.007381876700271e-05,0.1
7,7,0.0001341475861286,0.1
8,8,0.0001064017507065,0.1
9,9,7.006149391737388e-05,0.1
10,10,0.00017284555145,0.1
11,11,5.37816495071634e-05,0.1
12,12,5.319996847867864e-05,0.1
13,13,5.708541333513677e-05,0.1
14,14,0.0001419078790466,0.1
15,15,7.15860307844654e-05,0.1
16,16,0.0001258099030035,0.1
17,17,0.0001603855824567,0.1
18,18,6.69012926803176e-05,0.1
19,19,8.137052278880406e-05,0.1
20,20,6.255850248820603e-05,0.1
21,21,0.0001715390808476,0.1
22,22,8.63154852116091e-05,0.1
23,23,8.735691008421579e-05,0.1
24,24,0.0001465727463425,0.1
25,25,9.058676419678398e-05,0.1
26,26,8.560135535838727e-05,0.1
27,27,6.402588787284078e-05,0.1
28,28,8.520770900709797e-05,0.1
29,29,0.0001044210512934,0.1
30,30,7.246433079985837e-05,0.1
31,31,9.559008570168538e-05,0.1
32,32,0.000137843553905,0.1
33,33,0.000102397585955,0.1
34,34,8.933162137042095e-05,0.1
35,35,0.0001031060309215,0.1
36,36,8.85749056551099e-05,0.1
37,37,7.612554104436379e-05,0.1
38,38,0.0001555736625662,0.1
39,39,9.276489644440544e-05,0.1
40,40,9.38057483406739e-05,0.1
41,41,8.691433088487817e-05,0.1
42,42,4.527293855707468e-05,0.1
43,43,6.423347571602605e-05,0.1
44,44,6.060774158314392e-05,0.1
45,45,0.0001137487737586,0.1
46,46,5.5726510193324736e-05,0.1
47,47,0.0001217424572841,0.1
48,48,0.0001801307502389,0.1
49,49,5.280969496150288e-05,0.1
50,50,0.0001737591093305,0.1
51,51,7.188048369070974e-05,0.1
52,52,0.0001810270040882,0.1
53,53,0.0001090134560875,0.1
54,54,5.884739043931304e-05,0.1
55,55,6.206571228033127e-05,0.1
56,56,9.379466912860564e-05,0.1
57,57,0.0001011711382929,0.1
58,58,0.0001165173272973,0.1
59,59,0.0001269192513499,0.1
60,60,0.0001049570075615,0.1
61,61,7.586152193454114e-05,0.1
62,62,6.970731679228831e-05,0.1
63,63,0.0001327502776502,0.1
64,64,7.267815471106714e-05,0.1
65,65,7.695787474646358e-05,0.1
66,66,0.000127998260523,0.1
67,67,9.107124536930689e-05,0.1
68,68,7.48053403154004e-05,0.1
69,69,0.0001656925506353,0.1
70,70,0.0001306638600254,0.1
71,71,5.804477327949268e-05,0.1
72,72,0.0001023255899859,0.1
73,73,7.521536567865418e-05,0.1
74,74,8.982128098329431e-05,0.1
75,75,6.09452675358828e-05,0.1
76,76,6.350811126886033e-05,0.1
77,77,8.685403137085996e-05,0.1
78,78,6.707739982225614e-05,0.1
79,79,6.701047890229499e-05,0.1
80,80,9.896820079639868e-05,0.1
81,81,0.0001186410527461,0.1
82,82,0.0001303340348419,0.1
83,83,5.641222867994161e-05,0.1
84,84,4.025915148498012e-05,0.1
85,85,0.0001134501994864,0.1
86,86,9.455171373162432e-05,0.1
87,87,7.746513551013259e-05,0.1
88,88,0.0001240865468398,0.1
89,89,0.0002828262800473,0.1
90,90,9.013765996953283e-05,0.1
91,91,0.0002114403131375,0.1
92,92,6.765344461466222e-05,0.1
93,93,8.35189229567279e-05,0.1
94,94,4.733440598505032e-05,0.1
95,95,7.506432199262063e-05,0.1
96,96,6.395368802693924e-05,0.1
97,97,8.097634946523266e-05,0.1
98,98,5.907193465952422e-05,0.1
99,99,0.0001159142915587,0.1
100,100,0.0001092856769238,0.09
101,101,6.231546613480707e-05,0.09
102,102,0.0002227215209726,0.09
103,103,0.0004484863434347,0.09
104,104,0.0001109812197106,0.09
105,105,0.0001863541703651,0.09
106,106,0.0001250379856573,0.09
107,107,6.789018425447413e-05,0.09
108,108,9.370633437428602e-05,0.09
109,109,0.0001318847369555,0.09
110,110,9.270621546640572e-05,0.09
111,111,0.0002442888659482,0.09
112,112,7.222921876244469e-05,0.09
113,113,0.0002883092560117,0.09
114,114,0.0001670666534616,0.09
115,115,6.562470345635017e-05,0.09
116,116,9.926582075476232e-05,0.09
117,117,9.132262354030515e-05,0.09
118,118,6.251556633942813e-05,0.09
119,119,0.000103482112661,0.09
120,120,9.76462714764002e-05,0.09
121,121,6.83992229599614e-05,0.09
122,122,0.0001702455432079,0.09
